TYPE;DESCRIPTION
Hunter;"Охотники — это энергичные и настойчивые продавцы, которые сосредоточены на поиске новых клиентов и заключении первых сделок. Они не боятся отказов и всегда ищут новые возможности для расширения клиентской базы. Охотники эффективны на этапе запуска новых продуктов или выхода на новые рынки. Например, стартап, стремящийся быстро нарастить клиентскую базу, нуждается в охотниках, которые будут активно искать и привлекать первых клиентов.

"
Farmer;"Фермеры — это продавцы, которые сосредоточены на поддержании и углублении отношений с существующими клиентами. Они стремятся к долгосрочному сотрудничеству и максимизации ценности от уже имеющихся клиентов. Фермеры идеальны для работы с крупными корпоративными клиентами, где важны долгосрочные отношения и регулярные повторные продажи. Например, в B2B-компаниях, предлагающих сложные технологические решения, фермеры могут эффективно работать над увеличением объемов продаж текущим клиентам.

"
Consultative Seller;"Консультанты — это продавцы, которые стремятся понять нужды клиента и предложить решения, которые наилучшим образом их удовлетворяют. Они выступают в роли доверенных советников и экспертов. Консультанты особенно полезны в ситуациях, где продукты или услуги требуют значительного объяснения и настройки под клиента. Например, в сфере консалтинга или сложных технологических продаж.

"
Transactional Seller;"Транзакционные продавцы фокусируются на быстрой и эффективной продаже продуктов без необходимости устанавливать долгосрочные отношения. Их цель — быстрые и частые сделки. Транзакционные продавцы отлично подходят для компаний, работающих с товарами массового спроса, где важна скорость и объем продаж. Например, в розничной торговле или онлайн-магазинах.

"
"Challenger

";"Провокаторы бросают вызов клиентам, заставляя их пересмотреть свои потребности и подходы. Они уверены в себе, умеют аргументировать свою позицию и вдохновляют клиентов на изменения. Провокаторы эффективны в инновационных отраслях, где необходимо менять устоявшиеся стандарты. Например, компании, продвигающие революционные технологии, нуждаются в таких продавцах для преодоления сопротивления рынков.

"
Expert Seller;"Эксперты — это продавцы с глубокими знаниями в своей области, которые могут предложить клиентам детальные и квалифицированные консультации. Они строят свои продажи на основе доверия и авторитета. Эксперты нужны в высокотехнологичных или специализированных отраслях, таких как медицинское оборудование или сложное программное обеспечение, где клиентам важно получать точную и подробную информацию.

"
"Social Seller
";"Социальные продавцы используют социальные сети и онлайн-платформы для привлечения и взаимодействия с клиентами. Они хорошо разбираются в цифровом маркетинге и умеют создавать вовлекающий контент. Социальные продавцы особенно эффективны в современных цифровых компаниях, продвигающих свои услуги через интернет. Например, в сфере онлайн-образования или e-commerce.

"
Technical Seller;"Технические продавцы обладают глубокими техническими знаниями и могут объяснять сложные продукты или услуги с точки зрения их функциональности и преимуществ. Технические продавцы востребованы в компаниях, продающих высокотехнологичную продукцию, такую как ИТ-решения или инженерные системы, где важна точность и техническая грамотность.

"
"Coach Seller

";"Коучи фокусируются на обучении и поддержке клиентов, помогая им максимально эффективно использовать продукт или услугу. Они создают долгосрочную ценность через обучение и развитие клиента. Коучи полезны в образовательных и тренинговых компаниях, где важно не просто продать продукт, но и обучить клиентов его использованию.

"
"Referral Seller
";"Реферальные продавцы строят свои продажи на основе рекомендаций и отзывов от довольных клиентов. Они активно используют сети и личные связи для привлечения новых клиентов. Реферальные продавцы идеальны для компаний, где доверие и репутация играют ключевую роль. Например, в финансовых услугах или медицинских консультациях.

"
